Category,Datasource,Frequency,WA,ID,Description
PerformanceCollection,'\\SQLServer:Locks(_Total)\\Lock Timeouts/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.LockTimeoutsPerSecond,Collects the Windows "Lock Timeouts per Second" performance counter for each instance of SQL DB Engine on Windows.
PerformanceCollection,'\\SQLServer:Locks(_Total)\\Lock Waits/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.LockWaitsPerSecond,Collects the Windows "Number of Lock Waits per Second" performance counter for each instance of SQL DB Engine on Windows.
PerformanceCollection,'\\SQLServer:General Statistics(_Total)\\Logins/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.LoginsPerSecond,Collects the total number of logins started per second. This does not include pooled connections.
PerformanceCollection,'\\SQLServer:Locks(_Total)\\Number of Deadlocks/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.NumberDeadlocksPerSecond,Collects the Windows "Number of Deadlocks per Second" performance counter for each instance of SQL DB Engine on Windows.
PerformanceCollection,'\\SQLServer:Buffer Manager(_Total)\\Page life expectancy',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.PageLifeExpectancy,Collects the Page Life Expectancy in seconds.
PerformanceCollection,'\\SQLServer:Broker Activation(_Total)\\Stored Procedures Invoked/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerActivation_StoredProceduresInvokedSec,Collects the "Broker Activation: Stored Procedures Invoked per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Activation(_Total)\\Task Limit Reached',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerActivation_TaskLimitReached,Collects the "Broker Activation: Task Limit Reached" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Activation(_Total)\\Task Limit Reached/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerActivation_TaskLimitReachedSec,Collects the "Broker Activation: Task Limit Reached per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Activation(_Total)\\Tasks Aborted/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerActivation_TasksAbortedSec,Collects the "Broker Activation: Tasks Aborted per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Activation(_Total)\\Tasks Running',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerActivation_TasksRunning,Collects the "Broker Activation: Tasks Running" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Activation(_Total)\\Tasks Started/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerActivation_TasksStartedSec,Collects the "Broker Activation: Tasks Started per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Current Bytes for Recv I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_CurrentBytesForRecvIO,Collects the "Broker/DBM Transport: Current Bytes for Receive I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Current Bytes for Send I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_CurrentBytesForSendIO,Collects the "Broker/DBM Transport: Current Bytes for Send I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Current Msg Frags for Send I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_CurrentMsgFragsForSendIO,Collects the "Broker/DBM Transport: Current Message Fragments for Send I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P10 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP10SendsSec,Collects the "Broker/DBM Transport: Message Fragment P10 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P1 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP1SendsSec,Collects the "Broker/DBM Transport: Message Fragment P1 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P2 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP2SendsSec,Collects the "Broker/DBM Transport: Message Fragment P2 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P3 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP3SendsSec,Collects the "Broker/DBM Transport: Message Fragment P3 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P4 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP4SendsSec,Collects the "Broker/DBM Transport: Message Fragment P4 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P5 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP5SendsSec,Collects the "Broker/DBM Transport: Message Fragment P5 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P6 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP6SendsSec,Collects the "Broker/DBM Transport: Message Fragment P6 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P7 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP7SendsSec,Collects the "Broker/DBM Transport: Message Fragment P7 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P8 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP8SendsSec,Collects the "Broker/DBM Transport: Message Fragment P8 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment P9 Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentP9SendsSec,Collects the "Broker/DBM Transport: Message Fragment P9 Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment Receives/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentReceivesSec,Collects the "Broker/DBM Transport: Message Fragment Receives per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Message Fragment Sends/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MessageFragmentSendsSec,Collects the "Broker/DBM Transport: Message Fragment Sends per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Msg Fragment Recv Size Avg',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MsgFragmentRecvSizeAvg,Collects the "Broker/DBM Transport:Message Fragment Receive Size Average" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Msg Fragment Send Size Avg',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_MsgFragmentSendSizeAvg,Collects the "Broker/DBM Transport:Message Fragment Send Size Average" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Open Connection Count',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_OpenConnectionCount,Collects the "Broker/DBM Transport: Open Connection Count" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Pending Bytes for Recv I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_PendingBytesForRecvIO,Collects the "Broker/DBM Transport: Pending Bytes for Receive I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Pending Bytes for Send I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_PendingBytesForSendIO,Collects the "Broker/DBM Transport: Pending Bytes for Send I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Pending Msg Frags for Recv I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_PendingMsgFragsForRecvIO,Collects the "Broker/DBM Transport: Pending Message Fragments for Receive I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Pending Msg Frags for Send I/O',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_PendingMsgFragsForSendIO,Collects the "Broker/DBM Transport: Pending Message Fragments for Send I/O" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Receive I/O bytes/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_ReceiveIOBytesSec,Collects the "Broker/DBM Transport: Receive I/O Bytes per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Receive I/O Len Avg',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_ReceiveIOLenAvg,Collects the "Broker/DBM Transport: Receive I/O Len Average" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Receive I/Os/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_ReceiveIOsSec,Collects the "Broker/DBM Transport: Receive I/Os per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Recv I/O Buffer Copies bytes/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_RecvIOBufferCopiesBytesSec,Collects the "Broker/DBM Transport:Receive I/O Buffer Copies bytes per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Recv I/O Buffer Copies Count',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_RecvIOBufferCopiesCount,Collects the "Broker/DBM Transport:Receive I/O Buffer Copies Count" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Send I/O bytes/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_SendIOBytesSec,Collects the "Broker/DBM Transport: Send I/O Bytes per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Send I/O Len Avg',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_SendIOLenAvg,Collects the "Broker/DBM Transport: Send I/O Len Average" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker/DBM Transport(_Total)\\Send I/Os/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerDbmTransport_SendIOsSec,Collects the "Broker/DBM Transport: Send I/Os per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Activation Errors Total',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_ActivationErrorsTotal,Collects the "Broker Statistics: Activation Errors Total" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Broker Transaction Rollbacks',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_BrokerTransactionRollbacks,Collects the "Broker Statistics: Broker Transaction Rollbacks" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Corrupted Messages Total',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_CorruptedMessagesTotal,Collects the "Broker Statistics: Corrupted Messages Total" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Dequeued TransmissionQ Msgs/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_DequeuedTransmissionqMsgsSec,Collects the "Broker Statistics: Dequeued TransmissionQ Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Dialog Timer Event Count',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_DialogTimerEventCount,Collects the "Broker Statistics: Dialog Timer Event Count" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Dropped Messages Total',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_DroppedMessagesTotal,Collects the "Broker Statistics: Dropped Messages Total" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued Local Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedLocalMessagesSec,Collects the "Broker Statistics: Enqueued Local Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued Local Messages Total',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedLocalMessagesTotal,Collects the "Broker Statistics: Enqueued Local Messages Total" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedMessagesSec,Collects the "Broker Statistics: Enqueued Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued Messages Total',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedMessagesTotal,Collects the "Broker Statistics: Enqueued Messages Total" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P10 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP10MessagesSec,Collects the "Broker Statistics: Enqueued P10 Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P1 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP1MessagesSec,Collects the "Broker Statistics: Enqueued P1 Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P2 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP2MessagesSec,Collects the "Broker Statistics: Enqueued P2 Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P3 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP3MessagesSec,Collects the "Broker Statistics: Enqueued P3 Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P4 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP4MessagesSec,Collects the "Broker Statistics: Enqueued P4 Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P5 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP5MessagesSec,Collects the "Broker Statistics: Enqueued P5 Messages per Second" performance counter for each instance of SQL DB Engine.
PerformanceCollection,'\\SQLServer:Broker Statistics(_Total)\\Enqueued P6 Messages/sec',900,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.SQLServer.Windows.CollectionRule.DBEngine.BrokerStatistics_EnqueuedP6MessagesSec,Collects the "Broker Statistics: Enqueued P6 Messages per Second" performance counter for each instance of SQL DB Engine.
